word,count
obtained,17
seed,148
fruit,59
'the,10
flora',5
sir,10
je,9
smith,7
39,13
similarly,22
characterised,8
according,66
vaucher,18
'hist,5
phys,5
plantes,5
d'europe',6
1841,4
tome,26
functional,11
importance,8
ancient,4
yielded,209
nothing,15
surprising,14
longer,83
irregular,15
regular,7
apt,7
owe,7
arrested,6
early,24
reversion,11
normal,42
number,357
parts,20
seem,15
bud,14
stands,25
end,15
whole,39
26,28
hitherto,11
mentioned,10
list,21
67,13
causes,7
doubtful,10
separated,14
borne,18
necessarily,7
sex,10
rudiments,7
usually,11
great,47
depends,10
well,53
wind,16
amount,14
delpino,12
1871,13
consist,14
mature,20
ready,6
proterandrous,10
conversely,10
proterogynous,5
obviously,6
favour,6
walnut,4
corylus,4
add,20
11,34
befruchtung',7
trees,10
abort,10
third,24
cape,6
hope,6
differentiation,4
extent,10
bentham,10
oliver,6
found,99
impossible,9
specimens,32
fourth,4
appears,43
would,181
coexist,6
plan,6
follow,6
sense,4
individual,30
offers,7
examined,43
spring,5
autumn,11
fifteen,16
field,8
eight,61
single,100
set,48
abundance,25
nearly,89
none,19
separation,10
period,21
dehisce,9
generally,57
instead,32
containing,81
grains,135
sound,20
ovules,19
ultimately,7
age,6
lecoq,15
truly,7
easily,10
'geographie,4
5,71
considerable,26
thyme,4
name,11
distinguished,4
making,4
botanists,17
without,30
entering,6
palustris,21
live,6
mingled,6
4,70
presence,7
unusual,4
occurrence,8
appear,37
think,10
worth,13
production,27
excepting,13
necessary,18
sketch,4
reader,4
hooker,14
giving,10
information,4
aided,6
fritz,46
st,13
catharina,12
brazil,24
dried,37
valuable,4
cowslip,106
united,29
homostyled,30
hottonia,23
androsace,7
figure,33
left,38
right,23
exists,9
equally,11
numerous,31
von,17
mohl,17
326,5
year,31
looked,5
mere,14
variability,19
true,13
polyanthus,16
globular,9
mouth,19
1/2,14
ends,10
threads,5
suppose,14
struck,5
exactly,34
twice,32
projects,14
situated,5
halfway,4
tube,41
attached,7
near,39
stand,31
seated,27
middle,9
tubular,5
shape,27
throat,9
expanded,15
children,5
notice,15
best,10
make,14
depressed,5
summit,6
axis,5
double,14
although,36
variable,24
carefully,19
papillae,34
render,4
rough,6
long-,43
thrice,14
mention,8
pollen-,7
measured,19
micrometer,10
dry,13
wet,6
taken,31
always,34
distended,11
millimetres,9
inch,15
diameter,96
100,205
plainly,8
shorter,54
low,41
transparent,10
greater,54
spherical,4
angles,5
tend,16
little,75
twelve,51
pots,10
alike,6
seven,32
considerably,31
history,4
july,5
fewer,14
rougher,9
standing,5
short,65
half,45
smooth,14
uniform,8
except,14
vary,23
marked,34
cowslips,38
primroses,16
retained,4
garden,36
season,41
w,8
informs,21
